Date,SN,Open,High,Low,Close,Adj Close,Volume,live,KI,KO,accumulation,BQty,BAt,BWhen,SQty,SAt,SWhen,BCF,SCF,CumQty,CumCF
2023-01-05,151,135.660004,135.710007,133.699997,135.350006,134.296051,8381300,True,True,False,True,4,135.710007,False,4,133.699997,True,False,534.799988,98,1952.2100549999989
2023-01-06,152,136.130005,138.380005,134.490005,137.940002,136.865875,10029100,True,True,False,True,2,138.380005,True,2,134.490005,False,-276.76001,False,100,1675.450044999999
2023-01-09,153,138.600006,138.880005,136.880005,137.369995,136.300308,8482300,True,True,False,True,2,138.880005,False,2,136.880005,True,False,273.76001,100,1949.2100549999989
2023-01-10,154,137.789993,138.720001,137.309998,138.600006,137.520737,9048700,True,True,False,True,2,138.720001,False,2,137.309998,True,False,274.619996,100,2223.830050999999
2023-01-11,155,138.899994,139.75,138.100006,139.630005,138.542709,8703700,True,True,False,True,2,139.75,True,2,138.100006,False,-279.5,False,102,1944.330050999999
2023-01-12,156,140.0,140.860001,139.220001,139.490005,138.403809,11001700,True,True,False,True,9,140.860001,False,9,139.220001,True,False,1252.9800089999999,102,3197.310059999999
2023-01-13,157,135.600006,143.490005,134.800003,143.009995,141.896393,20200000,True,True,False,True,3,143.490005,True,3,134.800003,False,-430.470015,False,105,2766.840044999999
2023-01-17,158,141.169998,141.539993,139.229996,140.800003,139.703598,14292900,True,True,False,True,5,141.539993,True,5,139.229996,False,-707.699965,False,110,2059.140079999999
2023-01-18,159,138.919998,140.729996,136.410004,136.570007,135.506546,13392600,True,True,False,True,3,140.729996,True,3,136.410004,False,-422.18998799999997,False,113,1636.9500919999991
2023-01-19,160,135.320007,135.899994,133.589996,134.75,133.700714,13303400,True,True,False,True,2,135.899994,True,2,133.589996,False,-271.799988,False,115,1365.1501039999991
2023-01-20,161,135.160004,135.490005,133.550003,135.080002,134.028137,13092500,True,True,False,True,4,135.490005,False,4,133.550003,True,False,534.200012,115,1899.3501159999992
2023-01-23,162,135.119995,137.960007,134.820007,137.270004,136.201096,10487100,True,True,False,True,6,137.960007,False,6,134.820007,True,False,808.920042,115,2708.2701579999994
2023-01-24,163,136.419998,140.289993,135.0,138.449997,137.371902,6945000,True,True,False,True,2,140.289993,False,2,135.0,True,False,270.0,115,2978.2701579999994
2023-01-25,164,138.050003,139.119995,137.25,139.119995,138.036682,8967000,True,True,False,True,2,139.119995,False,2,137.25,True,False,274.5,115,3252.7701579999994
2023-01-26,165,139.419998,140.059998,138.360001,139.979996,138.889984,7487600,True,True,False,True,2,140.059998,True,2,138.360001,False,-280.119996,False,117,2972.6501619999995
2023-01-27,166,140.610001,141.259995,139.75,140.320007,139.227341,7489900,True,True,False,True,2,141.259995,True,2,139.75,False,-282.51999,False,119,2690.130171999999
2023-01-30,167,139.229996,140.089996,138.910004,139.130005,138.046616,6729300,True,True,False,True,2,140.089996,False,2,138.910004,True,False,277.820008,119,2967.9501799999994
2023-01-31,168,139.880005,140.070007,138.25,139.960007,138.870148,9188700,True,True,False,True,3,140.070007,False,3,138.25,True,False,414.75,119,3382.7001799999994
2023-02-01,169,138.210007,140.880005,138.119995,139.589996,138.503021,8841800,True,True,False,True,3,140.880005,True,3,138.119995,False,-422.64001500000006,False,122,2960.0601649999994
2023-02-02,170,140.0,140.460007,138.0,138.940002,137.858093,11822100,True,True,False,True,5,140.460007,False,5,138.0,True,False,690.0,122,3650.0601649999994
2023-02-03,171,138.179993,142.330002,138.130005,141.089996,139.991333,11501200,True,True,False,True,3,142.330002,False,3,138.130005,True,False,414.39001500000006,122,4064.4501799999994
2023-02-06,172,140.229996,142.240005,140.029999,141.919998,140.81488,8406200,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-07,173,141.380005,144.339996,141.179993,143.649994,142.531403,10447900,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-08,174,142.649994,144.039993,142.279999,142.639999,141.529266,6958000,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-09,175,143.119995,143.339996,139.869995,140.419998,139.326553,6443100,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-10,176,139.779999,141.279999,138.589996,141.039993,139.941727,6582900,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-13,177,141.300003,142.729996,140.740005,142.570007,141.459824,7134600,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-14,178,142.5,143.809998,141.600006,143.199997,142.084915,9249400,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-15,179,141.610001,143.889999,141.300003,143.800003,142.680237,6728300,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-16,180,142.910004,143.389999,141.679993,141.820007,140.715668,8165300,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-17,181,140.979996,142.830002,140.070007,142.240005,141.132385,7948800,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-21,182,140.690002,141.339996,138.75,139.630005,138.542709,9996300,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-22,183,138.919998,139.429993,137.440002,138.559998,137.481033,11107500,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-23,184,138.729996,140.169998,137.940002,139.669998,138.582397,8068000,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-24,185,139.110001,141.360001,138.929993,140.929993,139.832581,9126900,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-27,186,142.110001,143.309998,141.720001,142.160004,141.053009,10014700,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-02-28,187,142.940002,143.759995,141.899994,143.350006,142.233749,11019800,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-01,188,142.100006,143.460007,141.800003,142.550003,141.439972,7139200,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-02,189,142.240005,142.429993,139.539993,141.070007,139.971512,11106800,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-03,190,141.509995,143.740005,141.080002,143.660004,142.541336,9513100,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-06,191,143.440002,144.039993,142.660004,142.820007,141.70787,9261300,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-07,192,142.009995,142.309998,137.809998,138.619995,137.540573,11747600,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-08,193,138.0,138.589996,136.889999,137.800003,136.726959,10002500,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-09,194,136.759995,137.350006,129.220001,130.339996,129.325043,25888100,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-10,195,128.960007,135.259995,127.82,133.649994,132.609268,37599700,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-13,196,131.210007,133.880005,129.410004,131.25,130.227966,42901100,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-14,197,135.279999,135.529999,131.289993,134.619995,133.571716,29648100,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
2023-03-15,198,130.979996,130.990005,126.730003,128.259995,127.261246,34280600,True,True,True,False,False,False,False,False,False,False,False,False,122,4064.4501799999994
